applicant_id,full_name,age,gender,marital_status,education_level,city,state,employment_type,years_employed,annual_income_inr,monthly_expenses_inr,loan_purpose,loan_amount_inr,loan_tenure_months,credit_score,debt_to_income_ratio,existing_loans,previous_defaults,property_ownership,has_collateral,collateral_value_inr,co_applicant,bank_account_age_years,num_credit_inquiries_6m,savings_balance_inr,risk_level,approval_status,interest_rate_pct,application_date,processing_branch,income_to_loan_ratio,savings_months_cover,age_group,application_month
LOAN100016,Vikram Joshi,59,Female,Widowed,Bachelor's,Chennai,Tamil Nadu,Freelancer,19.4,550887,28765,Personal Loan,468431,36,804,0.438,2,0,Company Provided,Yes,582274,No,3.3,0,943867,low,Approved,10.61,2025-12-04,Bangalore,1.176,32.81,51–64,2025-12
LOAN100017,Manoj Singh,33,Female,Widowed,Diploma,Bangalore,Karnataka,Unemployed,0.0,56853,2621,Home Loan,2220790,180,673,0.627,3,0,Rented,No,0,No,16.6,7,122799,medium,Under Review,0.0,2026-01-28,Delhi,0.0256,46.85,31–40,2026-01
LOAN100018,Neha Patel,43,Female,Single,High School,Indore,Madhya Pradesh,Freelancer,10.9,510933,25869,Business Loan,2228957,180,589,0.662,5,3,Parental,Yes,2862418,Yes,16.4,2,92312,high,Rejected,0.0,2025-11-20,Pune,0.2292,3.57,41–50,2025-11
LOAN100019,Manoj Kapoor,27,Male,Widowed,Bachelor's,Surat,Gujarat,Business Owner,5.5,1087346,41360,Education Loan,2368563,24,760,0.104,2,0,Rented,Yes,2820000,No,24.9,2,1602937,low,Approved,9.82,2026-02-18,Pune,0.4591,38.76,21–30,2026-02
LOAN100020,Riya Rao,26,Female,Single,Master's,Vadodara,Gujarat,Salaried,7.2,480610,23581,Home Loan,7543034,36,567,0.557,4,2,Company Provided,No,0,No,2.1,5,87382,high,Rejected,0.0,2026-04-05,Mumbai,0.0637,3.71,21–30,2026-04
LOAN100021,Sneha Reddy,48,Other,Widowed,Master's,Nagpur,Maharashtra,Business Owner,3.7,1894421,62001,Gold Loan,328752,24,706,0.521,1,0,Company Provided,No,0,Yes,5.1,5,3768113,medium,Approved,12.98,2026-01-23,Mumbai,5.7625,60.78,41–50,2026-01
LOAN100022,Arjun Mehta,61,Female,Single,PhD,Pune,Maharashtra,Unemployed,0.0,8804,249,Car Loan,641902,180,798,0.307,2,0,Rented,No,0,No,8.5,6,12323,low,Approved,10.07,2026-02-26,Kolkata,0.0137,49.49,51–64,2026-02
LOAN100023,Priya Rao,57,Female,Widowed,PhD,Jaipur,Rajasthan,Unemployed,0.0,13172,405,Gold Loan,227613,84,751,0.309,0,0,Parental,No,0,Yes,17.0,2,12828,low,Approved,11.03,2026-03-04,Ahmedabad,0.0579,31.67,51–64,2026-03
LOAN100024,Kavya Gupta,44,Female,Married,PhD,Pune,Maharashtra,Salaried,10.5,534706,16341,Car Loan,666188,84,513,0.712,1,1,Parental,Yes,801000,Yes,5.1,5,1354868,high,Rejected,0.0,2025-11-27,Mumbai,0.8026,82.91,41–50,2025-11
LOAN100025,Sunita Chaudhary,59,Female,Widowed,Master's,Surat,Gujarat,Business Owner,16.4,2932276,89654,Home Loan,7755907,180,742,0.148,1,0,Owned,Yes,8891983,Yes,7.7,2,2524150,low,Approved,10.4,2025-12-18,Ahmedabad,0.3781,28.15,51–64,2025-12
LOAN100026,Neha Rao,22,Other,Single,Master's,Mumbai,Maharashtra,Self-Employed,2.7,535834,23154,Education Loan,855133,180,763,0.292,1,0,Company Provided,No,0,Yes,18.5,6,1060057,low,Approved,10.7,2026-03-02,Ahmedabad,0.6266,45.78,21–30,2026-03
LOAN100027,Rekha Joshi,39,Male,Divorced,PhD,Kolkata,West Bengal,Salaried,16.4,539323,24858,Education Loan,2289011,60,747,0.222,1,0,Rented,Yes,2019297,Yes,19.7,1,1321294,low,Approved,10.67,2026-04-19,Hyderabad,0.2356,53.15,31–40,2026-04
LOAN100028,Vikram Nair,31,Other,Single,Diploma,Nagpur,Maharashtra,Unemployed,0.0,42474,2424,Personal Loan,296280,240,610,0.476,3,1,Company Provided,No,0,Yes,24.8,6,110763,high,Rejected,0.0,2026-04-02,Bangalore,0.1434,45.69,31–40,2026-04
LOAN100029,Rajesh Nair,54,Other,Widowed,Master's,Lucknow,Uttar Pradesh,Self-Employed,15.3,1012982,40586,Car Loan,1005450,84,709,0.581,3,0,Owned,No,0,No,13.1,7,882070,medium,Under Review,0.0,2026-01-30,Kolkata,1.0075,21.73,51–64,2026-01
LOAN100030,Sunita Rao,23,Male,Widowed,Diploma,Mumbai,Maharashtra,Freelancer,17.0,595139,34084,Personal Loan,132894,12,610,0.791,4,3,Rented,Yes,148962,No,7.1,3,1484046,high,Rejected,0.0,2026-02-07,Bangalore,4.4783,43.54,21–30,2026-02
LOAN100031,Rekha Bose,39,Male,Single,Diploma,Vadodara,Gujarat,Unemployed,0.0,1327,52,Education Loan,1377814,84,663,0.608,4,1,Owned,No,0,No,5.5,6,2761,medium,Under Review,0.0,2026-04-01,Ahmedabad,0.001,53.1,31–40,2026-04
LOAN100032,Rajesh Iyer,21,Other,Married,Master's,Hyderabad,Telangana,Self-Employed,5.4,415648,19472,Personal Loan,430015,24,684,0.512,3,1,Owned,Yes,359600,Yes,5.7,0,116347,medium,Under Review,0.0,2025-12-04,Chennai,0.9666,5.98,21–30,2025-12
LOAN100033,Priya Agarwal,50,Other,Married,Master's,Nagpur,Maharashtra,Unemployed,0.0,9077,248,Gold Loan,372136,180,531,0.404,2,3,Company Provided,No,0,Yes,18.4,6,3196,high,Rejected,0.0,2026-02-13,Hyderabad,0.0244,12.89,41–50,2026-02
LOAN100034,Rohan Pillai,22,Other,Single,PhD,Delhi,Delhi,Business Owner,15.2,2183961,101919,Car Loan,1525833,120,800,0.371,0,0,Company Provided,Yes,1943905,No,18.2,7,4155719,low,Approved,10.36,2026-03-27,Pune,1.4313,40.77,21–30,2026-03
LOAN100035,Priya Kapoor,52,Other,Widowed,Bachelor's,Mumbai,Maharashtra,Unemployed,0.0,77233,4410,Gold Loan,236568,180,720,0.594,3,0,Parental,No,0,Yes,6.6,0,150730,medium,Rejected,0.0,2026-03-02,Ahmedabad,0.3265,34.18,51–64,2026-03
LOAN100036,Ananya Joshi,53,Female,Widowed,High School,Bangalore,Karnataka,Salaried,12.3,539435,17820,Gold Loan,289132,60,545,0.492,4,3,Owned,Yes,291121,Yes,24.7,0,1513156,high,Rejected,0.0,2026-04-01,Pune,1.8657,84.91,51–64,2026-04
LOAN100037,Aarav Kapoor,40,Male,Single,Bachelor's,Delhi,Delhi,Unemployed,0.0,12930,416,Education Loan,2266674,84,664,0.469,3,1,Owned,Yes,3035658,No,12.9,5,24622,medium,Under Review,0.0,2025-12-27,Pune,0.0057,59.19,31–40,2025-12
LOAN100038,Rohan Iyer,22,Male,Married,Diploma,Jaipur,Rajasthan,Freelancer,11.0,668869,28680,Gold Loan,390255,120,485,0.437,3,1,Company Provided,No,0,Yes,8.1,0,896674,high,Rejected,0.0,2026-03-04,Mumbai,1.7139,31.26,21–30,2026-03
LOAN100039,Priya Sharma,34,Other,Married,High School,Ahmedabad,Gujarat,Self-Employed,12.4,417128,12706,Home Loan,1617489,120,616,0.296,5,1,Parental,Yes,2132595,No,4.6,3,177048,medium,Approved,13.66,2026-02-25,Delhi,0.2579,13.93,31–40,2026-02
LOAN100040,Sanjay Rao,32,Male,Widowed,PhD,Nagpur,Maharashtra,Salaried,1.7,583234,17825,Personal Loan,459293,120,621,0.359,3,0,Rented,Yes,526948,No,19.4,5,1567786,medium,Under Review,0.0,2025-11-13,Delhi,1.2699,87.95,31–40,2025-11
LOAN100041,Riya Rao,58,Female,Married,Diploma,Ahmedabad,Gujarat,Self-Employed,17.2,501942,28128,Gold Loan,120276,240,793,0.101,1,0,Owned,No,0,No,6.0,4,392707,low,Approved,9.15,2026-02-12,Ahmedabad,4.1733,13.96,51–64,2026-02
LOAN100042,Rekha Pillai,53,Male,Widowed,High School,Ahmedabad,Gujarat,Salaried,13.6,643371,34891,Business Loan,5483543,84,701,0.142,2,0,Parental,No,0,No,8.5,7,1081905,low,Approved,11.19,2026-05-02,Hyderabad,0.1173,31.01,51–64,2026-05
LOAN100043,Suresh Mehta,39,Other,Married,Diploma,Hyderabad,Telangana,Self-Employed,5.2,1070959,27001,Personal Loan,176601,60,734,0.359,2,0,Company Provided,Yes,202270,Yes,6.2,7,1148014,low,Approved,11.62,2025-11-08,Mumbai,6.0643,42.52,31–40,2025-11
LOAN100044,Meera Agarwal,61,Female,Single,Diploma,Mumbai,Maharashtra,Business Owner,14.7,2149133,104709,Home Loan,2651219,120,753,0.397,0,0,Owned,No,0,Yes,23.1,7,5796207,low,Approved,11.42,2025-12-22,Pune,0.8106,55.36,51–64,2025-12
LOAN100045,Vikram Patel,51,Female,Married,Diploma,Lucknow,Uttar Pradesh,Business Owner,10.4,1393800,48396,Education Loan,1471359,24,781,0.303,2,0,Parental,Yes,1254158,No,17.7,3,3093247,low,Approved,10.4,2026-02-12,Kolkata,0.9473,63.92,51–64,2026-02
LOAN100046,Sneha Bose,23,Female,Divorced,Master's,Vadodara,Gujarat,Business Owner,3.2,2647222,76834,Car Loan,741673,24,791,0.43,1,0,Parental,Yes,674023,Yes,11.6,0,3750775,low,Approved,10.83,2026-04-04,Delhi,3.5693,48.82,21–30,2026-04
LOAN100047,Suman Reddy,23,Male,Single,Diploma,Ahmedabad,Gujarat,Self-Employed,14.1,624956,35797,Gold Loan,342358,60,749,0.389,1,0,Company Provided,No,0,Yes,17.1,7,510896,low,Approved,11.46,2026-03-21,Mumbai,1.8254,14.27,21–30,2026-03
LOAN100048,Ananya Joshi,62,Male,Married,Master's,Kolkata,West Bengal,Freelancer,5.4,288637,10797,Education Loan,1743630,240,607,0.549,2,1,Owned,Yes,1543142,No,23.0,0,78281,medium,Approved,15.11,2026-04-18,Chennai,0.1655,7.25,51–64,2026-04
LOAN100049,Nikhil Patel,59,Male,Widowed,Master's,Hyderabad,Telangana,Freelancer,16.7,621308,25807,Car Loan,504931,24,737,0.417,0,0,Company Provided,No,0,No,4.7,1,424609,low,Approved,11.84,2026-03-18,Ahmedabad,1.2305,16.45,51–64,2026-03
LOAN100050,Anil Malhotra,40,Female,Single,High School,Bangalore,Karnataka,Business Owner,12.6,2542466,87272,Education Loan,2063260,36,775,0.112,0,0,Rented,Yes,2371148,No,5.4,7,6762260,low,Approved,9.56,2025-12-21,Chennai,1.2323,77.48,31–40,2025-12
LOAN100051,Divya Kapoor,32,Other,Divorced,Master's,Hyderabad,Telangana,Unemployed,0.0,56157,1910,Home Loan,6672652,120,850,0.374,2,0,Owned,Yes,8988092,No,15.1,6,7662,low,Approved,9.37,2026-02-22,Mumbai,0.0084,4.01,31–40,2026-02
LOAN100052,Sunita Joshi,45,Female,Single,Diploma,Delhi,Delhi,Freelancer,20.0,194360,8588,Business Loan,3683756,84,816,0.368,1,0,Company Provided,No,0,No,23.4,6,578230,low,Approved,10.02,2026-03-21,Bangalore,0.0528,67.33,41–50,2026-03
LOAN100053,Divya Kapoor,42,Other,Married,PhD,Indore,Madhya Pradesh,Self-Employed,14.1,1182748,66958,Business Loan,5114134,84,502,0.763,1,2,Company Provided,Yes,6609593,No,4.8,5,191596,high,Rejected,0.0,2026-04-20,Chennai,0.2313,2.86,41–50,2026-04
LOAN100054,Rahul Gupta,64,Female,Single,High School,Ahmedabad,Gujarat,Unemployed,0.0,24261,725,Car Loan,1105623,12,698,0.461,4,0,Rented,Yes,1508635,Yes,21.2,6,62811,medium,Approved,12.84,2026-04-16,Hyderabad,0.0219,86.64,51–64,2026-04
LOAN100055,Rajesh Chaudhary,50,Other,Divorced,Diploma,Delhi,Delhi,Freelancer,6.8,224380,10898,Business Loan,784249,24,639,0.385,3,0,Parental,No,0,Yes,16.8,7,550323,medium,Under Review,0.0,2026-01-28,Ahmedabad,0.2861,50.5,41–50,2026-01
LOAN100056,Suresh Kapoor,37,Male,Married,PhD,Jaipur,Rajasthan,Business Owner,19.0,2342619,83414,Car Loan,1763778,36,700,0.355,2,0,Rented,No,0,Yes,23.4,2,1089078,low,Approved,12.28,2026-04-15,Chennai,1.3282,13.06,31–40,2026-04
LOAN100057,Nikhil Sharma,57,Female,Married,Diploma,Rajkot,Gujarat,Business Owner,19.3,1653531,79544,Personal Loan,93151,36,667,0.504,2,0,Parental,Yes,132335,No,19.8,5,3596793,medium,Under Review,0.0,2026-04-22,Pune,17.7511,45.22,51–64,2026-04
LOAN100058,Amit Kumar,21,Female,Married,Diploma,Kolkata,West Bengal,Freelancer,17.7,614709,24614,Gold Loan,287510,120,723,0.439,2,0,Owned,Yes,300695,No,1.0,1,504262,low,Approved,12.23,2026-04-08,Delhi,2.138,20.49,21–30,2026-04
LOAN100059,Shreya Chaudhary,45,Other,Single,Master's,Indore,Madhya Pradesh,Business Owner,2.0,1175489,66314,Car Loan,440809,120,749,0.156,0,0,Rented,Yes,456927,No,4.3,4,409905,low,Approved,10.3,2026-03-13,Chennai,2.6667,6.18,41–50,2026-03
LOAN100060,Priya Patel,49,Female,Widowed,Diploma,Chennai,Tamil Nadu,Freelancer,14.7,511900,13727,Gold Loan,221177,240,496,0.725,3,2,Owned,Yes,222986,No,2.6,7,1269766,high,Rejected,0.0,2025-11-25,Kolkata,2.3144,92.5,41–50,2025-11
LOAN100061,Rekha Mishra,49,Female,Widowed,Bachelor's,Mumbai,Maharashtra,Self-Employed,12.9,400714,11235,Home Loan,2281070,12,720,0.333,4,0,Company Provided,No,0,Yes,9.6,6,470944,medium,Approved,11.77,2026-03-18,Kolkata,0.1757,41.92,41–50,2026-03
LOAN100062,Manoj Kumar,46,Male,Divorced,PhD,Chennai,Tamil Nadu,Salaried,4.9,420364,16309,Personal Loan,520503,180,650,0.436,2,1,Rented,No,0,Yes,21.1,4,1035901,medium,Approved,13.68,2026-01-17,Kolkata,0.8076,63.52,41–50,2026-01
LOAN100063,Anil Pillai,50,Other,Married,High School,Pune,Maharashtra,Unemployed,0.0,37877,2145,Car Loan,559802,180,720,0.37,5,0,Company Provided,Yes,644595,Yes,23.8,1,20572,medium,Under Review,0.0,2026-03-11,Chennai,0.0677,9.59,41–50,2026-03
LOAN100064,Vinod Shah,39,Female,Divorced,High School,Bangalore,Karnataka,Self-Employed,13.8,835057,23298,Home Loan,5628108,120,532,0.435,2,1,Company Provided,Yes,6973554,No,21.5,7,1321962,high,Rejected,0.0,2026-05-01,Pune,0.1484,56.74,31–40,2026-05
LOAN100065,Priya Kapoor,44,Male,Divorced,PhD,Vadodara,Gujarat,Salaried,12.0,729346,39631,Education Loan,574749,36,514,0.467,2,1,Company Provided,Yes,500113,No,9.9,3,1081237,high,Rejected,0.0,2025-11-30,Kolkata,1.269,27.28,41–50,2025-11
LOAN100066,Anil Reddy,53,Other,Married,High School,Lucknow,Uttar Pradesh,Salaried,12.6,692887,34546,Car Loan,1710345,60,703,0.241,0,0,Parental,Yes,1414708,No,1.0,4,1705394,low,Approved,11.64,2026-02-16,Ahmedabad,0.4051,49.37,51–64,2026-02
LOAN100067,Vinod Reddy,23,Female,Widowed,PhD,Chennai,Tamil Nadu,Business Owner,4.9,1909480,88826,Education Loan,2365369,24,798,0.44,0,0,Rented,Yes,2625979,No,5.7,0,4736865,low,Approved,10.74,2025-12-31,Hyderabad,0.8073,53.33,21–30,2025-12
LOAN100068,Suman Pillai,22,Other,Single,Diploma,Pune,Maharashtra,Salaried,14.3,725742,22806,Business Loan,1636763,36,733,0.123,0,0,Rented,No,0,Yes,6.6,2,1013515,low,Approved,10.46,2026-02-01,Chennai,0.4434,44.44,21–30,2026-02
LOAN100069,Riya Shah,46,Female,Married,Master's,Mumbai,Maharashtra,Business Owner,12.9,2083809,92860,Personal Loan,235104,180,739,0.277,0,0,Parental,Yes,227899,No,4.5,1,5602843,low,Approved,11.11,2025-11-09,Delhi,8.8633,60.34,41–50,2025-11
LOAN100070,Rajesh Joshi,31,Other,Married,Bachelor's,Vadodara,Gujarat,Business Owner,17.1,2235872,104458,Home Loan,3714059,120,759,0.117,0,0,Owned,Yes,5199600,Yes,12.1,7,984513,low,Approved,9.91,2026-03-21,Mumbai,0.602,9.42,31–40,2026-03
LOAN100071,Amit Rao,56,Female,Divorced,Diploma,Chennai,Tamil Nadu,Self-Employed,14.3,948317,38460,Personal Loan,491914,60,445,0.721,2,1,Company Provided,No,0,Yes,0.7,0,2843354,high,Rejected,0.0,2026-01-29,Ahmedabad,1.9278,73.93,51–64,2026-01
LOAN100072,Karan Iyer,59,Male,Married,PhD,Chennai,Tamil Nadu,Business Owner,7.1,1964448,99235,Gold Loan,243092,24,506,0.617,5,1,Owned,Yes,341068,No,16.7,6,4043284,high,Rejected,0.0,2026-04-28,Kolkata,8.0811,40.74,51–64,2026-04
LOAN100073,Arjun Reddy,61,Other,Married,PhD,Jaipur,Rajasthan,Business Owner,14.9,2402090,111161,Personal Loan,464998,120,771,0.242,1,0,Company Provided,Yes,558197,No,12.9,0,6110885,low,Approved,10.29,2025-11-17,Bangalore,5.1658,54.97,51–64,2025-11
LOAN100074,Anil Reddy,39,Other,Single,Diploma,Vadodara,Gujarat,Business Owner,5.5,1882385,69352,Home Loan,4727647,180,598,0.301,1,1,Parental,Yes,6915821,No,19.8,3,1933935,medium,Approved,14.04,2026-02-27,Ahmedabad,0.3982,27.89,31–40,2026-02
LOAN100075,Anil Mehta,29,Other,Single,Master's,Jaipur,Rajasthan,Freelancer,12.9,678441,28943,Home Loan,7006430,180,734,0.119,2,0,Company Provided,Yes,5954421,Yes,21.8,3,335690,low,Approved,10.42,2026-03-14,Hyderabad,0.0968,11.6,21–30,2026-03
LOAN100076,Rajesh Gupta,25,Female,Single,High School,Delhi,Delhi,Freelancer,17.3,674032,27007,Business Loan,5728339,180,610,0.464,3,1,Rented,Yes,6537791,Yes,14.6,3,348733,high,Rejected,0.0,2026-04-12,Bangalore,0.1177,12.91,21–30,2026-04
LOAN100077,Arjun Rao,43,Male,Divorced,PhD,Kolkata,West Bengal,Unemployed,0.0,53801,1686,Education Loan,1930461,120,702,0.411,1,0,Owned,No,0,Yes,6.0,4,141878,medium,Approved,12.52,2026-02-14,Bangalore,0.0279,84.15,41–50,2026-02
LOAN100078,Pooja Bose,31,Other,Divorced,Master's,Rajkot,Gujarat,Salaried,3.8,865464,47253,Education Loan,2440770,240,769,0.306,1,0,Rented,No,0,No,24.9,6,1294757,low,Approved,10.65,2026-03-17,Bangalore,0.3546,27.4,31–40,2026-03
LOAN100079,Sneha Kumar,64,Female,Single,Master's,Bangalore,Karnataka,Freelancer,19.7,254355,13790,Home Loan,6449819,48,810,0.179,0,0,Parental,Yes,7822243,Yes,15.1,4,48704,low,Approved,9.2,2026-04-07,Mumbai,0.0394,3.53,51–64,2026-04
LOAN100080,Sunita Sharma,47,Female,Widowed,High School,Surat,Gujarat,Salaried,7.9,819240,38572,Gold Loan,187653,24,639,0.417,2,1,Parental,Yes,177115,Yes,10.8,4,2212713,medium,Approved,13.8,2025-12-25,Delhi,4.3657,57.37,41–50,2025-12
LOAN100081,Sanjay Mehta,28,Female,Widowed,Bachelor's,Vadodara,Gujarat,Business Owner,12.4,1831982,55592,Home Loan,3015982,24,719,0.274,0,0,Company Provided,No,0,Yes,17.4,0,2689273,low,Approved,11.49,2026-03-05,Mumbai,0.6074,48.38,21–30,2026-03
LOAN100082,Rohan Kumar,56,Female,Married,Master's,Lucknow,Uttar Pradesh,Salaried,16.8,840179,48693,Gold Loan,117573,24,667,0.613,4,0,Parental,Yes,158214,No,11.9,2,289388,medium,Under Review,0.0,2026-03-21,Mumbai,7.146,5.94,51–64,2026-03
LOAN100083,Suman Verma,47,Other,Married,Bachelor's,Rajkot,Gujarat,Business Owner,2.8,2465152,91007,Personal Loan,357122,84,585,0.592,2,2,Company Provided,Yes,297169,No,22.0,2,799218,high,Rejected,0.0,2026-02-06,Bangalore,6.9028,8.78,41–50,2026-02
LOAN100084,Kavya Gupta,40,Male,Married,High School,Pune,Maharashtra,Salaried,5.8,455598,26296,Education Loan,1333037,120,759,0.437,0,0,Rented,Yes,1512692,Yes,10.7,6,816756,low,Approved,11.51,2025-12-10,Kolkata,0.3418,31.06,31–40,2025-12
LOAN100085,Anil Verma,33,Female,Widowed,High School,Rajkot,Gujarat,Self-Employed,12.4,866749,47312,Business Loan,4603246,120,751,0.373,1,0,Company Provided,Yes,6384589,Yes,2.1,0,1718045,low,Approved,11.35,2026-05-01,Chennai,0.1883,36.31,31–40,2026-05
LOAN100086,Divya Mishra,26,Male,Single,High School,Pune,Maharashtra,Business Owner,12.6,1499689,69655,Business Loan,2071416,240,521,0.71,2,1,Rented,Yes,2017567,No,21.4,7,3921350,high,Rejected,0.0,2026-04-15,Kolkata,0.724,56.3,21–30,2026-04
LOAN100087,Vinod Joshi,36,Male,Widowed,Master's,Bangalore,Karnataka,Business Owner,1.5,1934412,100025,Car Loan,784029,84,678,0.638,5,0,Company Provided,No,0,Yes,21.5,3,2647921,medium,Rejected,0.0,2026-04-04,Kolkata,2.4673,26.47,31–40,2026-04
LOAN100088,Shreya Iyer,61,Other,Married,Master's,Ahmedabad,Gujarat,Salaried,11.4,436898,24762,Home Loan,5100052,120,760,0.244,0,0,Parental,Yes,6906736,Yes,20.5,5,1110042,low,Approved,10.52,2026-02-09,Kolkata,0.0857,44.83,51–64,2026-02
LOAN100089,Divya Iyer,23,Other,Divorced,High School,Bangalore,Karnataka,Business Owner,15.3,1306785,34663,Gold Loan,398457,180,774,0.14,2,0,Rented,No,0,No,3.9,0,2828830,low,Approved,9.72,2026-01-20,Delhi,3.2796,81.61,21–30,2026-01
LOAN100090,Vinod Mehta,44,Other,Divorced,High School,Pune,Maharashtra,Business Owner,18.6,2796610,140496,Business Loan,5772863,48,755,0.166,0,0,Owned,No,0,Yes,19.4,7,3856493,low,Approved,10.23,2025-11-17,Bangalore,0.4844,27.45,41–50,2025-11
LOAN100091,Lata Gupta,28,Other,Married,Diploma,Pune,Maharashtra,Freelancer,11.3,268233,7631,Home Loan,5704514,240,635,0.544,2,1,Parental,Yes,6593465,No,10.8,1,495300,medium,Under Review,0.0,2025-11-08,Chennai,0.047,64.91,21–30,2025-11
LOAN100092,Shreya Pillai,37,Female,Divorced,PhD,Delhi,Delhi,Business Owner,9.3,1238251,57066,Education Loan,1028793,84,522,0.837,1,1,Rented,No,0,Yes,15.8,4,1123353,high,Rejected,0.0,2026-02-05,Bangalore,1.2036,19.69,31–40,2026-02
